X,Y,osm_id,code,fclass,name
136.9171338,35.1561111,1645714156,2303,cafe,ドトールコーヒーショップ
137.0215633,35.1820969,1648219072,2303,cafe,スターバックス
137.0222446,35.1825959,1648219073,2303,cafe,ドトールコーヒーショップ
137.7000087,35.0706892,1653834733,2303,cafe,絵夢
137.7009738,35.0712484,1653868631,2303,cafe,喫茶木馬
137.713688,35.0292875,1655347114,2303,cafe,ちゃちゃカフェ
137.7047322,35.0251407,1655451157,2303,cafe,コーヒーショップ四季
137.5046573,34.9024184,1655561927,2303,cafe,喫茶あすなろ
139.0183647,37.8685758,1655726150,2303,cafe,三宝 新潟黒埼本店
137.387896,34.8174485,1655778669,2303,cafe,喫茶とろーにあ
137.5729672,35.0984931,1660144390,2303,cafe,キッサ桧
137.2979046,36.3322702,1668368582,2303,cafe,
137.2968852,36.3329401,1668368592,2303,cafe,
137.6974035,35.7751766,1674111751,2303,cafe,喫茶レオ
137.6944101,35.7840025,1674111755,2303,cafe,かふぇりか
137.6375684,35.7769605,1674228877,2303,cafe,cafe流れ星
137.5376077,35.1615681,1681138804,2303,cafe,Shitara　JUNK Cafe
137.5263475,35.0362125,1691632670,2303,cafe,
138.3454188,34.8946191,1707040825,2303,cafe,キャデラック・シーサイドレストラン
136.6894607,35.3183102,1724257800,2303,cafe,喫茶ティファニー
136.7253345,35.3479876,1725159948,2303,cafe,パイオニア
136.711615,35.3362774,1726457893,2303,cafe,童夢
136.7085332,35.3349208,1726457913,2303,cafe,サンロード
136.7312823,35.359565,1729008139,2303,cafe,喫茶モンブラン
136.7302335,35.3758454,1733965593,2303,cafe,マンガ喫茶マグロッカー
136.8079236,35.3708123,1741127209,2303,cafe,オアシスカフェ
136.9504054,35.1379449,1745598201,2303,cafe,コメダ珈琲店
136.8533121,35.1462724,1749089458,2303,cafe,
136.7221219,35.3946928,1750441762,2303,cafe,星野珈琲店
138.768421,34.7825712,1761798081,2303,cafe,
136.8696484,35.1431265,1766090954,2303,cafe,コメダ珈琲
136.7739989,35.122599,1776776687,2303,cafe,マンガ喫茶すみれ
136.9971869,34.9978742,1834941685,2303,cafe,珈琲家族刈谷店
136.2231584,36.0617239,1862486090,2303,cafe,cafe COLORADO
138.2448779,35.9704763,1863965026,2303,cafe,パンさんのお茶
138.2646425,35.9700291,1863969116,2303,cafe,ロビン
136.2517707,36.0965616,1864415120,2303,cafe,スターバックス
137.1696796,35.1344859,1865230214,2303,cafe,トータス
136.8662954,35.1715464,1868307351,2303,cafe,ガーデンカフェ アンツ
137.7355844,34.7131063,1872580715,2303,cafe,コメダ珈琲店
136.8794987,35.1582122,1874236024,2303,cafe,エリート
136.8912188,35.1569667,1875917883,2303,cafe,タナ珈琲
136.8858687,35.1556329,1880820506,2303,cafe,AKI
136.942251,35.2312278,1886255731,2303,cafe,カフェレストらん
136.9031128,35.1452961,1886375774,2303,cafe,コメダ珈琲店
136.8983641,35.1538951,1889630561,2303,cafe,ユニコーン
136.9031846,35.1482102,1891329541,2303,cafe,ゲオール
